ds/dl_dl/dp,dl/dp,ds/dl_ds/dp,ds/dp,ds/dl_theta_l,theta_l,ds/dl_theta_s,theta_s,Study
0.330462211545035,0.873953847205539,0.304120975414351,0.296529968454259,0.30976430976431,0.082479694609015,0.309338699792001,1.48215146065829,Zamir (1982)
0.306057676344496,0.969228215119288,0.316809373591708,0.293375394321767,0.333333333333333,0.159067982460243,0.32641291810842,1.45852024181877,Zamir (1982)
0.349778806433657,0.964609029385053,0.331075058835311,0.287066246056782,0.346801346801347,0.206199236522537,0.346778435715906,1.50610611790794,Zamir (1982)
0.365237941776775,0.938070684284026,0.35021280857243,0.315457413249211,0.36026936026936,0.20030782976475,0.350508896642585,1.30736837606353,Zamir (1982)
0.351146007285227,0.933361165636383,0.361358970507236,0.326498422712934,0.346801346801347,0.539063718337489,0.357458267579737,1.22434577916538,Zamir (1982)
0.495815388822157,0.830462211545035,0.348690601371989,0.33596214511041,0.52020202020202,0.642163336598758,0.49876696925386,1.27858235756269,Zamir (1982)
0.50068848328597,0.860157325755134,0.499749636973612,0.419558359621451,0.5,0.332864481814952,0.495412932586276,1.24593023931585,Zamir (1982)
0.524175040771883,0.868006523501206,0.498212407991588,0.435331230283912,0.5,0.091316804745695,0.49891657376709,1.18661972085975,Zamir (1982)
0.516567544604928,0.900807136788445,0.533173100996445,0.44794952681388,0.505050505050505,0.135502355429096,0.540004729432999,1.06226775961821,Zamir (1982)
0.538296272424536,0.877403587925663,0.522112062490611,0.463722397476341,0.526936026936027,0.135502355429096,0.524812632412059,0.976147229198108,Zamir (1982)
0.557183175616949,0.899308098711901,0.498327574983726,0.471608832807571,0.528619528619529,0.20030782976475,0.521477899552634,0.931628964279929,Zamir (1982)
0.498100567388353,0.946090782136544,0.534860547794302,0.479495268138801,0.538720538720539,0.250384787205938,0.55036604846221,0.976298840952853,Zamir (1982)
0.572056367737966,0.779018838074591,0.560322467577988,0.5,0.558922558922559,0.053022660820081,0.597925805813342,1.06261141292897,Zamir (1982)
0.603648473129621,0.833755700739265,0.599989985478945,0.495268138801262,0.574074074074074,0.067751177714548,0.59779550510827,1.14270790296055,Zamir (1982)
0.602378929481733,0.880628717077315,0.614506033748936,0.567823343848581,0.594276094276094,0.100153914882375,0.570355141810601,1.25527457713328,Zamir (1982)
0.613619273625719,0.92908378011504,0.682855139952932,0.597791798107256,0.612794612794613,0.050076957441188,0.525898471620989,1.3558740301315,Zamir (1982)
0.675817146651823,0.880743464291643,0.703434980722047,0.580441640378549,0.599326599326599,0.167905092596923,0.612466399308924,1.549214393507,Zamir (1982)
0.698961903924843,0.833904627974883,0.715883030394072,0.501577287066246,0.695286195286195,0.220927753417004,0.708025075646798,1.45188470068611,Zamir (1982)
0.665660797468725,1.00572759499605,0.752375945120425,0.496845425867508,0.668350168350168,0.344647295330526,0.747173198592752,1.47288292871824,Zamir (1982)
0.665660797468725,1.00572759499605,0.800225326723749,0.569400630914827,0.676767676767677,0.397669956150607,0.679677433365667,1.0749627172155,Zamir (1982)
0.715651520034376,1.00424320550005,0.778228431225277,0.640378548895899,0.712121212121212,0.335810185193846,0.668085496566335,0.870200934982565,Zamir (1982)
0.748464340472075,1.00429447553199,0.789364578639027,0.64826498422713,0.750841750841751,0.341701591951632,0.676670865244941,0.828719958884436,Zamir (1982)
0.759167569995801,0.966811199328118,0.66719743628261,0.665615141955836,0.715488215488215,0.438909803455114,0.714125079024965,0.843775006130577,Zamir (1982)
0.80314260881454,1.00281741032627,0.876465875519503,0.585173501577287,0.712121212121212,0.515498091306342,0.700646194978114,0.751731509825115,Zamir (1982)
0.80314260881454,1.00281741032627,0.835306193981273,0.6198738170347,0.664983164983165,0.648054743356544,0.751931587303885,0.642272876624654,Zamir (1982)
0.775447025849862,0.82152413597789,0.835306193981273,0.6198738170347,0.747474747474747,0.910222344078055,0.76022739886011,0.778784100596714,Zamir (1982)
0.783279133585289,0.824661373646227,0.713369385609133,0.709779179810726,0.749158249158249,0.78355709878564,0.74659408434799,0.78166977766202,Zamir (1982)
0.715329251262219,0.702680201955097,0.761023484051875,0.720820189274448,0.747474747474747,0.736425844723346,0.751613074469266,0.838064296701863,Zamir (1982)
0.74795652301292,0.673043682067208,0.751584797957038,0.747634069400631,0.750841750841751,0.668674667008798,0.780573612659437,0.83823612335724,Zamir (1982)
0.798220685748885,0.715309719821483,0.754749386610585,0.744479495268139,0.747474747474747,0.642163336598758,0.751386254723401,0.977491520090178,Zamir (1982)
0.831287414916162,0.755986386585807,0.861113614741375,0.749211356466877,0.759259259259259,0.612706302809824,0.713917563087258,0.971336082847546,Zamir (1982)
0.86171739958398,0.87478393343685,0.804125982674879,0.798107255520505,0.744107744107744,0.59208637915757,0.747815050214031,1.07833355189599,Zamir (1982)
0.923553940956455,0.768630553032744,0.922883180611887,0.706624605678234,0.777777777777778,0.394724252771713,0.749470351763644,1.10800902602467,Zamir (1982)
0.872977275168703,0.676364026992451,0.943397926994142,0.668769716088328,0.786195286195286,0.220927753417004,0.783493313643449,1.13787654170936,Zamir (1982)
0.938827527612574,0.712404418011895,1.00555805918582,0.749211356466877,0.831649831649832,0.288678931131552,0.798559935911357,1.30112702549321,Zamir (1982)
1.00160157814041,0.756252502465844,1.00412097541435,0.796529968454259,0.858585858585859,0.032402737167828,0.858218355025988,1.28071502957943,Zamir (1982)
0.998769519233587,0.803123077373802,1.00730559311001,0.799684542586751,0.7996632996633,0.477203947380728,0.93660146805461,1.26931382562263,Zamir (1982)
0.998769519233587,0.803123077373802,1.00583345851485,0.83596214511041,0.796296296296296,0.515498091306342,1.00461361014994,1.34981461366687,Zamir (1982)
1.00060547466284,0.846875946054161,0.596925542035952,0.529968454258675,0.796296296296296,0.597977785915357,1.00514446487431,1.02349558020486,Zamir (1982)
,,,,0.797979797979798,0.636271929840971,0.925419737178652,0.812396426623598,Zamir (1982)
,,,,0.7996632996633,0.662783260251011,0.899895276840739,0.794445594861834,Zamir (1982)
,,,,0.808080808080808,0.730534437965559,0.833355050117512,0.856348674324064,Zamir (1982)
,,,,0.828282828282828,0.81890553933236,0.835193737844633,0.773295755074959,Zamir (1982)
,,,,0.833333333333333,0.621543412946504,0.835256475221149,0.734730778393085,Zamir (1982)
,,,,0.835016835016835,0.488986760896302,0.830203703435595,0.699102016028098,Zamir (1982)
,,,,0.872053872053872,0.633326226462077,0.804698546905841,0.669285037594988,Zamir (1982)
,,,,0.898989898989899,0.633326226462077,0.801233513341344,0.704863262708393,Zamir (1982)
,,,,0.937710437710438,0.4006156595295,0.804592375960968,0.734548844287391,Zamir (1982)
,,,,0.917508417508418,0.350538702088313,0.79944308513462,0.758250815279134,Zamir (1982)
,,,,1,0.053022660820081,0.878313619319251,0.447229407870853,Zamir (1982)
,,,,0.998316498316498,0.701077404176625,1.00069493709372,0.617049734360307,Zamir (1982)
,,,,0.998316498316498,0.724643031207772,1.00569462340683,0.685310400071495,Zamir (1982)
,,,,0.996632996632996,0.786502802164533,,,Zamir (1982)
,,,,0.996632996632996,0.910222344078055,,,Zamir (1982)
