Diameter (microns), Flow (microliter/min), Study
6.89189189189189,0.01837555571237, Kornfield (2015)
15.8108108108108,0.096145649566015, Kornfield (2015)
24.4594594594595,0.280460094559311, Kornfield (2015)
28.3783783783784,0.220684496506951, Kornfield (2015)
30.1351351351351,0.20177545691906, Kornfield (2015)
31.2162162162162,0.214240350010585, Kornfield (2015)
31.2162162162162,0.239305624162021, Kornfield (2015)
32.4324324324324,0.26429468633124, Kornfield (2015)
34.054054054054,0.207796203514219, Kornfield (2015)
27.027027027027,0.314763954555077, Kornfield (2015)
25.2702702702703,0.324273516336179, Kornfield (2015)
25.4054054054054,0.374395596641027, Kornfield (2015)
25.9459459459459,0.402560158069297, Kornfield (2015)
27.5675675675676,0.411858019899795, Kornfield (2015)
27.972972972973,0.4306315715193, Kornfield (2015)
25.9459459459459,0.443291228565381, Kornfield (2015)
31.4864864864865,0.414745607226026, Kornfield (2015)
32.7027027027027,0.427202032319525, Kornfield (2015)
32.1621621621622,0.496165408228071, Kornfield (2015)
29.5945945945946,0.483793663114812, Kornfield (2015)
31.0810810810811,0.518165267094771, Kornfield (2015)
30.6756756756757,0.524456989626702, Kornfield (2015)
36.6216216216216,0.561682308940794, Kornfield (2015)
34.4594594594595,0.658945734245995, Kornfield (2015)
33.9189189189189,0.687178039658457, Kornfield (2015)
35.9459459459459,0.815510549714205, Kornfield (2015)
36.8918918918919,0.796652318114459, Kornfield (2015)
38.9189189189189,0.871721120598405, Kornfield (2015)
41.0810810810811,1.06270834803472, Kornfield (2015)
31.014855881295,0.432876128108307, Doblhoff-Dier (2014) 
32.9627362752587,0.26560877829466, Doblhoff-Dier (2014) 
33.7440864025684,0.18738174228603, Doblhoff-Dier (2014) 
42.8525572885459,0.3898603702549, Doblhoff-Dier (2014) 
47.5055320065534,0.90062802021127, Doblhoff-Dier (2014) 
49.5516521769227,0.46415888336127, Doblhoff-Dier (2014) 
49.0894732640678,0.30538555088334, Doblhoff-Dier (2014) 
53.1595621671681,0.46415888336127, Doblhoff-Dier (2014) 
53.4092253602344,0.93260334688322, Doblhoff-Dier (2014) 
65.3305446835809,1.23284673944207, Doblhoff-Dier (2014) 
63.0957344480194,1.80117352833413, Doblhoff-Dier (2014) 
67.8177354081984,2.38658978685858, Doblhoff-Dier (2014) 
68.9931494113028,2.38658978685858, Doblhoff-Dier (2014) 
71.6512680267112,2.38658978685858, Doblhoff-Dier (2014) 
72.8931246483142,2.51188643150958, Doblhoff-Dier (2014) 
75.9621091765857,2.57698037451487, Doblhoff-Dier (2014) 
79.4328234724282,2.92864456462523, Doblhoff-Dier (2014) 
79.7062794167338,4.64158883361278, Doblhoff-Dier (2014) 
77.8116771385464,4.64158883361278, Doblhoff-Dier (2014) 
81.9280910575647,4.41005945417674, Doblhoff-Dier (2014) 
83.348065123302,4.41005945417674, Doblhoff-Dier (2014) 
84.2118356728544,6.30957344480193, Doblhoff-Dier (2014) 
87.1562442838067,5.84341413373518, Doblhoff-Dier (2014) 
88.0594805726225,9.74740225556606, Doblhoff-Dier (2014) 
100.689706428449,8.14912746902075, Doblhoff-Dier (2014) 
100.689706428449,11.0775685050971, Doblhoff-Dier (2014) 
102.434855985451,10.5250028527773, Doblhoff-Dier (2014) 
104.21025239771,11.3646366638572, Doblhoff-Dier (2014) 
111.241966278977,12.2712523985119, Doblhoff-Dier (2014) 
135.344157472417,14.3267824306252,Riva (1985)
102.518806419258,13.6635949515212,Riva (1985)
112.637913741224,13.1155967903711,Riva (1985)
124.017678034102,12.6665935305918,Riva (1985)
125.570461384152,11.2022525911067,Riva (1985)
122.56832998997,10.0366202774992,Riva (1985)
120.295260782347,10.012276412571,Riva (1985)
93.2240471414243,11.5811496990973,Riva (1985)
98.3256018054163,9.64461091608158,Riva (1985)
101.619232698094,9.27172141424273,Riva (1985)
105.667627883651,9.02274531929121,Riva (1985)
110.72279338014,8.92244441658309,Riva (1985)
121.854939819458,8.27498119358075,Riva (1985)
109.481569709127,8.05421472751588,Riva (1985)
101.141549648947,8.18000877632899,Riva (1985)
94.8100551654965,8.80166541290538,Riva (1985)
88.0040120361083,8.20753928452023,Riva (1985)
96.0945336008024,7.95772734871281,Riva (1985)
100.398069207623,7.60944291206954,Riva (1985)
101.407973921765,7.63404797726513,Riva (1985)
110.515922768305,7.11107280173855,Riva (1985)
100.159854563691,7.03877256770311,Riva (1985)
91.3208375125376,6.91653084252759,Riva (1985)
93.3481695085256,6.66797266800401,Riva (1985)
90.3203360080241,6.51971539618857,Riva (1985)
101.191073219659,6.21970076897359,Riva (1985)
105.740972918756,6.11950434637245,Riva (1985)
98.1914493480441,4.95481235372785,Riva (1985)
95.413741223671,4.90575894349716,Riva (1985)
99.2207873620862,4.21018263122702,Riva (1985)
96.2092527582748,3.41676069876296,Riva (1985)
86.1039368104313,3.41885030090271,Riva (1985)
84.8457873620862,3.22059929789368,Riva (1985)
82.0624373119358,3.39487211634905,Riva (1985)
79.2916248746239,3.07286442661318,Riva (1985)
78.5487713139418,2.47748453694417,Riva (1985)
78.3042878635908,2.15495444667335,Riva (1985)
75.2852306920762,1.65930081912405,Riva (1985)
71.241850551655,1.70976471079907,Riva (1985)
88.8283600802407,5.57709587094617,Riva (1985)
91.1183550651956,4.93146104981612,Riva (1985)
85.5428786359077,5.62740304246072,Riva (1985)
81.9984954864594,5.92590270812437,Riva (1985)
80.236334002006,5.67812813440321,Riva (1985)
82.009779338014,5.47925025075226,Riva (1985)
80.2457372116349,5.30591775325978,Riva (1985)
74.9385656970913,5.38145687061184,Riva (1985)
75.7021063189569,5.1579739217653,Riva (1985)
82.5470160481444,4.21363047475761,Riva (1985)
81.7935055165496,4.04008901705116,Riva (1985)
77.0035105315948,3.64405717151455,Riva (1985)
76.5132898696088,3.04862504179204,Riva (1985)
72.2279338014042,2.67730274155801,Riva (1985)
70.7039869608826,3.00019851220328,Riva (1985)
67.6698846539619,3.10008149448345,Riva (1985)
63.8879137412237,2.80309679037112,Riva (1985)
62.635406218656,2.38151955867603,Riva (1985)
68.1889418254764,2.5540684553661,Riva (1985)
59.8627131394183,2.13395394516884,Riva (1985)
61.4004513540622,1.26514961551321,Riva (1985)
55.8456619859579,1.14222876964226,Riva (1985)
54.5730942828485,1.51470035105316,Riva (1985)
50.0294633901705,1.36675651955868,Riva (1985)
42.7137662988967,0.946433049147447,Riva (1985)
38.9368104312939,0.450936141758614,Riva (1985)
